storeid,lat,lon,country,display_name,road,house_number,city,state,suburb,postcode,category,type,osm_type,osm_id
165503,-34.986566,-71.234483,,"Diego de Almagro, 30, Argomedo, Caupolicán, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Argomedo,30,Curicó,Región del Maule,,3342121,tourism,hotel,way,562641301.0
192327,-34.97600174,-71.24430084,,"Santa Fé, La Colmena, Curicó, Provincia de Curicó, Región del Maule, 3340814, Chile",Santa Fé,,Curicó,Región del Maule,,3340814,highway,tertiary,way,27945180.0
236985,-34.58810043,-70.98519897,,"Farmacias Ahumada, 902, Avenida Bernardo O'Higgins, Condominio Las Camelias, El Trapiche, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3072268, Chile",Avenida Bernardo O'Higgins,902,San Fernando,Región del Libertador General Bernardo O'Higgins,El Trapiche,3072268,amenity,pharmacy,way,637026070.0
240585,-34.58639908,-70.98210144,,"1057, Avenida Manso de Velasco, Condominio Las Camelias, El Trapiche, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3070116, Chile",Avenida Manso de Velasco,1057,San Fernando,Región del Libertador General Bernardo O'Higgins,El Trapiche,3070116,building,yes,way,550507522.0
254219,-34.97060013,-71.20690155,,"Calle 1, Villa Pucará, Curicó, Provincia de Curicó, Región del Maule, 3400001, Chile",Calle 1,,Curicó,Región del Maule,,3400001,highway,residential,way,98404222.0
255723,-34.57392755,-70.99828375,,"1373, Avenida Circunvalación, Villa Pedro Aguirre Cerda, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071937, Chile",Avenida Circunvalación,1373,San Fernando,Región del Libertador General Bernardo O'Higgins,,3071937,place,house,node,6030732820.0
260800,-34.9815167,-71.2420147,,"Modelo, Peña, Consistorial, Curicó, Provincia de Curicó, Región del Maule, 3342121, Chile",Peña,,Curicó,Región del Maule,,3342121,shop,bakery,node,1469588128.0
308299,-34.9660057,-71.221317,,"Profesora Graciela Bustamante, Las Brisas del Boldo, Curicó, Provincia de Curicó, Región del Maule, 3340814, Chile",Profesora Graciela Bustamante,,Curicó,Región del Maule,,3340814,highway,living_street,way,146578208.0
311502,-35.83639908,-71.61199951,,"Avenida Presidente Ibáñez, Frontera del Inca, Linares, Provincia de Linares, Región del Maule, 4300000, Chile",Avenida Presidente Ibáñez,,Linares,Región del Maule,,4300000,highway,tertiary,way,235328187.0
312066,-35.85169983,-71.60150146,,"Rengo, Villa Presidente Ibáñez, Linares, Provincia de Linares, Región del Maule, 3581004, Chile",Rengo,,Linares,Región del Maule,,3581004,highway,primary,way,1004434079.0
336453,-35.85210037,-71.60320282,,"Carlos del Campo Rivera, Villa Presidente Ibáñez, Pamparraza, Linares, Provincia de Linares, Región del Maule, 3581004, Chile",Carlos del Campo Rivera,,Linares,Región del Maule,,3581004,highway,living_street,way,93284664.0
341920,-34.58509827,-70.99069977,,"725, Carampangue, Condominio Las Camelias, El Trapiche, San Fernando, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071082, Chile",Carampangue,725,San Fernando,Región del Libertador General Bernardo O'Higgins,El Trapiche,3071082,building,yes,relation,7934967.0
